e_inc_num,id
2,AD
79,AE
70069,AF
4,AG
3,AI
437,AL
1388,AM
5,AN
118141,AO
9889,AR
5,AS
473,AT
1656,AU
14,AW
8364,AZ
912,BA
1,BB
373885,BD
926,BE
9738,BF
1469,BG
219,BH
9944,BI
6564,BJ
1,BM
250,BN
11804,BO
1,BQ
86612,BR
55,BS
1313,BT
5459,BW
3943,BY
105,BZ
1835,CA
271059,CD
10428,CF
20908,CG
541,CH
28616,CI
1,CK
2764,CL
49053,CM
796232,CN
15509,CO
449,CR
717,CU
748,CV
9,CW
71,CY
257,CZ
4238,DE
3203,DJ
270,DK
4,DM
4996,DO
29978,DZ
5973,EC
58,EE
12673,EG
3156,ER
4771,ES
170784,ET
214,FI
428,FJ
206,FM
5153,FR
11382,GA
7651,GB
4,GD
1516,GE
45359,GH
98,GL
3694,GM
21286,GN
2326,GQ
457,GR
4354,GT
97,GU
7442,GW
837,GY
4608,HK
2473,HN
141,HR
20139,HT
185,HU
855373,ID
352,IE
280,IL
2794630,IN
16511,IQ
12027,IR
10,IS
3951,IT
125,JM
543,JO
14887,JP
197595,KE
6687,KG
52895,KH
601,KI
279,KM
2,KN
132407,KP
45648,KR
1067,KW
5,KY
12184,KZ
10628,LA
774,LB
8,LC
13413,LK
15972,LR
17516,LS
1241,LT
32,LU
321,LV
2627,LY
34851,MA
0,MC
4680,MD
72,ME
59545,MG
256,MH
183,MK
10335,ML
191500,MM
13461,MN
424,MO
22,MP
3736,MR
0,MS
60,MT
142,MU
158,MV
34150,MW
28040,MX
30270,MY
170685,MZ
35,NC
18123,NE
429977,NG
3218,NI
796,NL
360,NO
46788,NP
10,NR
0,NU
304,NZ
398,OM
2088,PA
34441,PE
55,PF
37037,PG
578404,PH
546594,PK
5658,PL
23,PR
35,PS
1516,PT
19,PW
2891,PY
792,QA
10681,RO
1210,RS
89542,RU
7475,RW
3893,SA
515,SB
15,SC
32557,SD
816,SE
2707,SG
63,SI
70,SK
24575,SL
0,SM
20082,SN
41250,SO
196,SR
19214,SS
289,ST
3690,SV
2,SX
2987,SY
6842,SZ
3,TC
23707,TD
4660,TG
97553,TH
5728,TJ
0,TK
6618,TL
2461,TM
4462,TN
8,TO
13049,TR
292,TT
21,TV
169113,TZ
36595,UA
83938,UG
7689,US
1076,UY
24371,UZ
8,VC
9829,VE
0,VG
119394,VN
146,VU
0,WF
17,WS
9946,YE
5400,YU
458369,ZA
58925,ZM
32026,ZW
